contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY241213C00601000,2024-12-12 21:13:26+00:00,601.0,3.64,0.0,0.0,0.0,0.0,413.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00602000,2024-12-12 21:14:59+00:00,602.0,2.83,0.0,0.0,0.0,0.0,1442.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00602500,2024-12-12 21:12:18+00:00,602.5,2.42,0.0,0.0,0.0,0.0,803.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00603000,2024-12-12 21:14:56+00:00,603.0,2.09,0.0,0.0,0.0,0.0,5446.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00604000,2024-12-12 21:14:56+00:00,604.0,1.44,0.0,0.0,0.0,0.0,10150.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00605000,2024-12-12 21:14:56+00:00,605.0,0.92,0.0,0.0,0.0,0.0,63614.0,0,0.007822421875,False,REGULAR,USD,2024-12-13
SPY241213C00606000,2024-12-12 21:14:58+00:00,606.0,0.54,0.0,0.0,0.0,0.0,112493.0,0,0.015634843750000002,False,REGULAR,USD,2024-12-13
SPY241213C00607000,2024-12-12 21:14:49+00:00,607.0,0.3,0.0,0.0,0.0,0.0,153712.0,0,0.015634843750000002,False,REGULAR,USD,2024-12-13
SPY241213C00608000,2024-12-12 21:14:58+00:00,608.0,0.16,0.0,0.0,0.0,0.0,87332.0,0,0.0312596875,False,REGULAR,USD,2024-12-13
SPY241213C00609000,2024-12-12 21:14:54+00:00,609.0,0.08,0.0,0.0,0.0,0.0,39664.0,0,0.0312596875,False,REGULAR,USD,2024-12-13
SPY241213C00610000,2024-12-12 21:14:59+00:00,610.0,0.04,0.0,0.0,0.0,0.0,76096.0,0,0.0312596875,False,REGULAR,USD,2024-12-13
SPY241213C00611000,2024-12-12 21:14:15+00:00,611.0,0.02,0.0,0.0,0.0,0.0,18788.0,0,0.062509375,False,REGULAR,USD,2024-12-13
SPY241213C00612000,2024-12-12 21:14:53+00:00,612.0,0.02,0.0,0.0,0.0,0.0,11936.0,0,0.062509375,False,REGULAR,USD,2024-12-13
SPY241213C00613000,2024-12-12 21:14:44+00:00,613.0,0.01,0.0,0.0,0.0,0.0,6107.0,0,0.062509375,False,REGULAR,USD,2024-12-13
